Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,3/3/2016,"b'House Hearing, 114th Congress - DISRUPTER SERIES: WEARABLE DEVICES'",CHRG-114hhrg20248.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20248/html/CHRG-114hhrg20248.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,5/26/2016,"b'House Hearing, 114th Congress - THE ISIS GENOCIDE DECLARATION: WHAT NEXT?'",CHRG-114hhrg20260.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20260/html/CHRG-114hhrg20260.htm
114th Congress (2015 - 2016),House Hearings,Committee on Small Business,5/26/2016,"b'House Hearing, 114th Congress - THE SHARING ECONOMY: A TAXING EXPERIENCE FOR NEW ENTREPRENEURS, PART II'",CHRG-114hhrg20276.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20276/html/CHRG-114hhrg20276.htm
114th Congress (2015 - 2016),House Hearings,Committee on the Judiciary,6/7/2016,"b'House Hearing, 114th Congress - INTERNATIONAL ANTITRUST ENFORCEMENT: CHINA AND BEYOND'",CHRG-114hhrg20350.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20350/html/CHRG-114hhrg20350.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/9/2016,"b""House Hearing, 114th Congress - SRI LANKA'S DEMOCRATIC TRANSITION: A NEW ERA FOR THE U.S.- SRI LANKA RELATIONSHIP""",CHRG-114hhrg20381.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20381/html/CHRG-114hhrg20381.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/9/2016,"b'House Hearing, 114th Congress - LEVERAGING U.S. FUNDS: THE STUNNING GLOBAL IMPACT OF NUTRITION AND SUPPLEMENTS DURING THE FIRST 1...'",CHRG-114hhrg20382.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20382/html/CHRG-114hhrg20382.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/9/2016,"b'House Hearing, 114th Congress - [H.A.S.C. No. 114-125] STOPPING THE MONEY FLOW: THE WAR ON TERROR FINANCE'",CHRG-114hhrg20383.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20383/html/CHRG-114hhrg20383.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/15/2016,"b'House Hearing, 114th Congress - EGYPT: CHALLENGES AND OPPORTUNITIES FOR U.S. POLICY'",CHRG-114hhrg20455.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20455/html/CHRG-114hhrg20455.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,6/22/2016,"b'House Hearing, 114th Congress - FEDERAL AVIATION ADMINISTRATION OVERSIGHT OF COMMERCIAL SPACE TRANSPORTATION'",CHRG-114hhrg20500.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20500/html/CHRG-114hhrg20500.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/23/2016,"b'House Hearing, 114th Congress - COUNTERING THE VIRTUAL CALIPHATE'",CHRG-114hhrg20531.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20531/html/CHRG-114hhrg20531.htm
114th Congress (2015 - 2016),House Hearings,Committee on Natural Resources,6/23/2016,"b""House Hearing, 114th Congress - THE ADMINISTRATION'S RESPONSE TO FINDINGS OF UNETHICAL AND CRIMINAL CONDUCT AT THE DEPARTMENT OF...""",CHRG-114hhrg20546.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20546/html/CHRG-114hhrg20546.htm
114th Congress (2015 - 2016),House Hearings,Commission on Security and Cooperation in Europe,6/23/2016,"b""House Hearing, 114th Congress - NATO'S WARSAW SUMMIT AND THE FUTURE OF EUROPEAN SECURITY""",CHRG-114hhrg20596.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20596/html/CHRG-114hhrg20596.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,4/15/2016,"b'House Hearing, 114th Congress - Unlawful Reinsurance Payments: Cms Diverting $3.5 Billion from Taxpayers to Pay Insurance Companies'",CHRG-114hhrg20615.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20615/html/CHRG-114hhrg20615.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/7/2016,"b""House Hearing, 114th Congress - DEMANDING ACCOUNTABILITY: THE ADMINISTRATION'S RECKLESS RELEASE OF TERRORISTS FROM GUANTANAMO""",CHRG-114hhrg20652.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20652/html/CHRG-114hhrg20652.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/6/2016,"b'House Hearing, 114th Congress - AFFIRMING AND RECOGNIZING THE KHMER, LAOTIAN, HMONG, AND MONTAGNARD FREEDOM FIGHTERS AND THE...'",CHRG-114hhrg20695.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20695/html/CHRG-114hhrg20695.htm
114th Congress (2015 - 2016),House Hearings,Committee on Small Business,6/9/2016,"b""House Hearing, 114th Congress - BEARING THE BURDEN: OVER-REGULATION'S IMPACT ON SMALL BANKS AND RURAL COMMUNITIES""",CHRG-114hhrg20698.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20698/html/CHRG-114hhrg20698.htm
114th Congress (2015 - 2016),House Hearings,Committee on Small Business,6/23/2016,"b""House Hearing, 114th Congress - DAMAGING REPERCUSSIONS: DOL'S OVERTIME RULE, SMALL EMPLOYERS, AND THEIR EMPLOYEES""",CHRG-114hhrg20700.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20700/html/CHRG-114hhrg20700.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,4/20/2016,"b'House Hearing, 114th Congress - HOW SECURE ARE U.S. BIORESEARCH LABS? PREVENTING THE NEXT SAFETY LAPSE'",CHRG-114hhrg20712.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20712/html/CHRG-114hhrg20712.htm
114th Congress (2015 - 2016),House Hearings,Committee on the Judiciary,7/12/2016,"b'House Hearing, 114th Congress - EXECUTIVE OVERREACH IN REGULATORY ENFORCEMENT AND INFRASTRUCTURE'",CHRG-114hhrg20723.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20723/html/CHRG-114hhrg20723.htm
114th Congress (2015 - 2016),House Hearings,Committee on the Judiciary,7/14/2016,"b'House Hearing, 114th Congress - JUSTICE AGAINST SPONSORS OF TERRORISM ACT'",CHRG-114hhrg20724.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20724/html/CHRG-114hhrg20724.htm
